method,lmax,time_taken,fscore,gscore,scaled_lambda
1,1,5009.927685976028,3157201346.8369355,1550236.077104065,1527453.5782597691
2,1,4966.647974252701,3157201346.83689,1550236.0771040632,1527453.578259748
3,1,4893.486215829849,3157201346.83689,1550236.0771040632,1527453.578259748
1,5,5224.506488800049,1757987440965.408,46608.58287111469,28287622403.057
2,5,5021.732696056366,1757988167107.0151,46608.93755955751,28287419342.491917
3,5,5106.915739297867,12866706679.720709,940654.0686829108,10258796.69528623
1,10,5884.116245985031,406668106.23491967,3440002.5801304416,88663.39609282669
2,10,5436.601952791214,406668106.2340391,3440002.5801360407,88663.39609249067
3,10,5190.188292264938,2060030159687.4128,30048.946284786387,51416860763.83988
1,25,6906.167142868042,1623060643157.4263,43197.07680047759,28179974315.735165
2,25,5785.745272874832,1623060643157.3884,43197.076800470284,28179974315.73929
3,25,5664.249996185303,2090919417917.5396,23168.88141483501,67685165086.73762
