dataset,w_update_method,h_accelarated,time_taken,fscore,gscore,scaled_lambda
small_6,proximal_averaging,1,1275.518223285675,24262330138.75867,26286.116328984186,1107611173.9795961
small_6,subgradient,1,14130.258761882782,15686382.398049824,123577284407.74254,0.15232351694752128
small_6,nesterov_smoothing,1,7767.615954875946,5370213.2905466985,9240472.61602412,697.3995185114505
small_6,without_nonneg_restriction,1,41.925848960876465,25677501724.55484,0.0,inf
small_6,proximal_averaging,0,1291.034618139267,24262330138.75867,26286.116328984186,1107611173.9795961
small_6,without_nonneg_restriction,0,1275.5427541732788,25677501724.589012,1.3655743202889425e-14,8.810757119898236e+27
small_6,subgradient,0,14470.64388513565,15686380.64640538,123577282012.68076,0.1523235028803
small_6,nesterov_smoothing,0,7607.03746509552,6403828.439744779,9098140.715046924,844.6337486401476
small_2,proximal_averaging,1,3133.7491521835327,14265121.85110403,220392.77809169522,6472495.336550311
small_2,without_nonneg_restriction,1,3118.5140421390533,658794654.5657644,1.637578961322106e-14,2.4369177501569212e+27
small_2,subgradient,1,7147.129813909531,6968166.715411204,165196605146.5019,4.218153443753782
