dataset,w_update_method,h_accelarated,time_taken,fscore,gscore,scaled_lambda
small_2,proximal_averaging,0,3119.298538208008,14265121.851063112,220392.7780944031,6472495.336452272
small_2,proximal_averaging,1,3053.993788957596,14265121.85110403,220392.77809169522,6472495.336550311
small_2,subgradient,0,7097.884577035904,6968168.09198816,165196556563.7503,4.218155555433397
small_2,subgradient,1,7086.280432939529,6968166.715411204,165196605146.5019,4.218153443753782
small_6,proximal_averaging,0,1346.4915778636932,24262330138.75867,26286.116328984186,1107611173.9795961
small_6,proximal_averaging,1,1275.518223285675,24262330138.75867,26286.116328984186,1107611173.9795961
small_6,subgradient,0,14112.203205823898,15686380.64640538,123577282012.68076,0.1523235028803
small_6,subgradient,1,14130.258761882782,15686382.398049824,123577284407.74254,0.15232351694752128
small_6,nesterov_smoothing,0,7485.824806928635,6403828.439744779,9098140.715046924,844.6337486401476
small_6,nesterov_smoothing,1,7767.615954875946,5370213.2905466985,9240472.61602412,697.3995185114505
small_6,without_nonneg_restriction,0,1368.3113331794739,25677501724.589012,1.3655743202889425e-14,8.810757119898236e+27
small_6,without_nonneg_restriction,1,41.925848960876465,25677501724.55484,0.0,inf
small_2,without_nonneg_restriction,0,3185.0623779296875,658794654.5657644,2.1649348980190553e-14,2.4369177501569212e+27
small_2,without_nonneg_restriction,1,3090.132479429245,658794654.5657644,1.637578961322106e-14,2.4369177501569212e+27
small_2,nesterov_smoothing,0,114606.49751877785,1830737.6684841176,3403333.176829283,53793.22665595034
